name,sku,size,description,available,sortOrder,collections,imageUrl
"4"" Lipstick - Mona Lisa",1110003800,"4""","A charming trailing plant named for its tubular red or coral flowers that emerge from dark, lipstick-tube-like buds. Provide bright, indirect light for best growth and colour. Water when the top inch of soil feels dry, then allow to drain freely. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_e4f04b04fe074f6294302b34ee3fbdbd~mv2.jpg
"4"" Aglaenema - Red",1110008500,"4""","Also called Chinese Evergreen, a tough, colourful foliage plant that thrives in typical indoor conditions. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Allow the soil to dry out between waterings; overwatering is the most common cause of trouble. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_6e7fcd2b5e304a28a3d04e11e8829d83~mv2.jpg
"4"" Alocasia - Hilo Beauty",1110009100,"4""","A striking tropical statement plant with bold, arrow- or heart-shaped leaves and dramatic veining. Provide bright, indirect light for best growth and colour. Prefers consistently moist soil and appreciates higher humidity. Appreciates warmth and higher humidity; may go semi-dormant in low light or cool conditions. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_f20bc1bfec6f4251b6c9fa10867fd15d~mv2.jpg
"4"" Alocasia - Red Secret",1110009300,"4""","A striking tropical statement plant with bold, arrow- or heart-shaped leaves and dramatic veining. Provide bright, indirect light for best growth and colour. Prefers consistently moist soil and appreciates higher humidity. Appreciates warmth and higher humidity; may go semi-dormant in low light or cool conditions. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_2175dcd1a9b64f70a22d9a9f0a45559c~mv2.jpg
"4"" Alocasia - Red Secret",1110009300,"4""","A striking tropical statement plant with bold, arrow- or heart-shaped leaves and dramatic veining. Provide bright, indirect light for best growth and colour. Prefers consistently moist soil and appreciates higher humidity. Appreciates warmth and higher humidity; may go semi-dormant in low light or cool conditions. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_e09f858b92ba43308512827f392c9bd7~mv2.jpg
"4"" African Mask",1110009500,"4""","A striking Alocasia variety, prized for its bold, deeply lobed, dark green arrow-shaped leaves with contrasting veins. Provide bright, indirect light for best growth and colour. Prefers consistently moist soil and appreciates higher humidity. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_a26053b9764443f0a2d873a731164797~mv2.jpg
"4"" Alocasia - Pink Princess",1110009700,"4""","A striking tropical statement plant with bold, arrow- or heart-shaped leaves and dramatic veining. Provide bright, indirect light for best growth and colour. Prefers consistently moist soil and appreciates higher humidity. Appreciates warmth and higher humidity; may go semi-dormant in low light or cool conditions. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_50ef174579c44e808cbe46e7bfde6cbd~mv2.jpg
"4"" Alocasia - Black Velvet",1110009800,"4""","A striking tropical statement plant with bold, arrow- or heart-shaped leaves and dramatic veining. Provide bright, indirect light for best growth and colour. Prefers consistently moist soil and appreciates higher humidity. Appreciates warmth and higher humidity; may go semi-dormant in low light or cool conditions. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_61d65cc6680b43eeae1a9607abec8193~mv2.jpg
"4"" Alocasia - Purple Sword",1110009900,"4""","A striking tropical statement plant with bold, arrow- or heart-shaped leaves and dramatic veining. Provide bright, indirect light for best growth and colour. Prefers consistently moist soil and appreciates higher humidity. Appreciates warmth and higher humidity; may go semi-dormant in low light or cool conditions. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_9879f9bf17d04b80919ba64c72a10df8~mv2.jpg
"4"" Alocasia - Dragon",1110010100,"4""","A striking tropical statement plant with bold, arrow- or heart-shaped leaves and dramatic veining. Provide bright, indirect light for best growth and colour. Prefers consistently moist soil and appreciates higher humidity. Appreciates warmth and higher humidity; may go semi-dormant in low light or cool conditions. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_07f7ceb5cf01417088db349780095217~mv2.jpg
"4"" Alocasia - Frydek",1110010300,"4""","A striking tropical statement plant with bold, arrow- or heart-shaped leaves and dramatic veining. Provide bright, indirect light for best growth and colour. Prefers consistently moist soil and appreciates higher humidity. Appreciates warmth and higher humidity; may go semi-dormant in low light or cool conditions. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_0cb5de43bb4043f693a2c4ab7f23f84a~mv2.jpg
"4"" Sprengeri Fern",1110015000,"4""","Also called Asparagus Fern, with soft, needle-like foliage on cascading stems (not a true fern). Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_b9890f208a6541e2b9170eed7d906a72~mv2.jpg
"4"" Plumosa Fern",1110015200,"4""","A finely textured, lacy-leaved Asparagus Fern relative often used for its soft, feathery foliage (not a true fern). Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_7965fc49a8714573aed3e05da8287844~mv2.jpg
"4"" Ponytail Palm",1110020000,"4""","Not a true palm but a striking succulent tree with a bulbous water-storing trunk and cascading, grass-like leaves. Prefers bright light with some direct sun each day. Water sparingly and only once the soil is completely dry; excellent drainage is essential. Extremely drought tolerant and a great choice for infrequent waterers. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_7de6ec85185d4fb2a991a1bd39bbb5f5~mv2.jpg
"4"" Rex Begonia",1110021400,"4""","A versatile, ornamental plant grown for its striking foliage and/or clusters of cheerful flowers. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Let the soil surface dry slightly between waterings and avoid wetting the leaves. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_cc09aaa37c964f2b896f821211989770~mv2.jpg
"4"" Angel Wing - Pink",1110021500,"4""","An Angel Wing Begonia, grown for its striking silver-spotted, wing-shaped leaves and dainty pink or white flower clusters. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_91d7047cf1a6478c9d0c18c2a1d0a7cf~mv2.jpg
"4"" Begonia - Maculata",1110021600,"4""","A versatile, ornamental plant grown for its striking foliage and/or clusters of cheerful flowers. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Let the soil surface dry slightly between waterings and avoid wetting the leaves. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_45e171392d3b40aeb05ff267ec01b977~mv2.jpg
"4""Begonia Maculata",1110021600,"4""","A versatile, ornamental plant grown for its striking foliage and/or clusters of cheerful flowers. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Let the soil surface dry slightly between waterings and avoid wetting the leaves. Keep away from pets and children, as this plant is toxic if ingested.",FALSE,,Tropical Plants;,db81aa_c9723442868840d193b3742177009313~mv2.jpg
"4"" Calathea - Medallion",1110026500,"4""","A striking Prayer Plant relative grown for its boldly patterned, richly coloured foliage. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Prefers consistently moist soil and appreciates higher humidity. Leaves fold up at night; prefers filtered water and higher humidity to prevent crispy edges. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_7abf05e283194dd4b14399f4a715c1db~mv2.jpg
"4"" Calathea - Burl Marx",1110026800,"4""","A striking Prayer Plant relative grown for its boldly patterned, richly coloured foliage. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Prefers consistently moist soil and appreciates higher humidity. Leaves fold up at night; prefers filtered water and higher humidity to prevent crispy edges. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_0b025514a1e4448e9729073a8ea0e21c~mv2.jpg
"4"" Calathea - Ornata",1110027200,"4""","A striking Prayer Plant relative grown for its boldly patterned, richly coloured foliage. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Prefers consistently moist soil and appreciates higher humidity. Leaves fold up at night; prefers filtered water and higher humidity to prevent crispy edges. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_47d02896657f4f9d91253054c6af6bc1~mv2.jpg
"4"" Calathea - Peacock",1110027600,"4""","A striking Prayer Plant relative grown for its boldly patterned, richly coloured foliage. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Prefers consistently moist soil and appreciates higher humidity. Leaves fold up at night; prefers filtered water and higher humidity to prevent crispy edges. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_62d17021c668433bba24b0915a130d93~mv2.jpg
"4"" Calathea - assorted",1110028000,"4""","A striking Prayer Plant relative grown for its boldly patterned, richly coloured foliage. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Prefers consistently moist soil and appreciates higher humidity. Leaves fold up at night; prefers filtered water and higher humidity to prevent crispy edges. Pet friendly and non-toxic if ingested.",FALSE,,Tropical Plants;,23f81e_dcedb1a3183c43f9b05a470554a16d33~mv2.jpg
"4"" Calathea - Zebrina",1110028200,"4""","A striking Prayer Plant relative grown for its boldly patterned, richly coloured foliage. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Prefers consistently moist soil and appreciates higher humidity. Leaves fold up at night; prefers filtered water and higher humidity to prevent crispy edges. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_2b89a6f5e91f4544a60d16b5a9310857~mv2.jpg
"4"" Calathea - Freddie",1110028400,"4""","A striking Prayer Plant relative grown for its boldly patterned, richly coloured foliage. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Prefers consistently moist soil and appreciates higher humidity. Leaves fold up at night; prefers filtered water and higher humidity to prevent crispy edges. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_d7df0f8acaab46b5a700fd1146f64490~mv2.jpg
"4"" Calathea - Orbifolia",1110028500,"4""","A striking Prayer Plant relative grown for its boldly patterned, richly coloured foliage. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Prefers consistently moist soil and appreciates higher humidity. Leaves fold up at night; prefers filtered water and higher humidity to prevent crispy edges. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_d2c6ce07b7584b5381c1a09f0d6fd364~mv2.jpg
"4"" Crassula - Calico Kitten",1110030000,"4""","A trailing succulent with small, delicately marbled leaves in soft pink and green tones. Prefers bright light with some direct sun each day. Water sparingly and only once the soil is completely dry; excellent drainage is essential. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_9c0e1fd8ea2f4a339665aff9b72841ab~mv2.jpg
"4"" Palm - Neanthe Bella (Parlour)",1110032000,"4""","A compact, classic parlour palm with delicate, feathery fronds that tolerates lower light beautifully. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Water when the top inch of soil feels dry, then allow to drain freely. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_87820022dbca457cb339f0ad7c72612e~mv2.jpg
"4"" Spider - Reverse Stripe",1110034000,"4""","A classic, easy-care houseplant with arching, striped foliage and dangling plantlets on long runners. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. One of the most forgiving houseplants and a great choice for beginners. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_28d959d77cde4ed5bc117429b769636b~mv2.jpg
"4"" Spider - Variegated",1110034100,"4""","A classic, easy-care houseplant with arching, striped foliage and dangling plantlets on long runners. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. One of the most forgiving houseplants and a great choice for beginners. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_f8b978e4facf4e3cacb1be0e7b81d3f9~mv2.jpg
"4"" Spider - Green",1110034500,"4""","A classic, easy-care houseplant with arching, striped foliage and dangling plantlets on long runners. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. One of the most forgiving houseplants and a great choice for beginners. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_ad99e35b717f4150af7f37c44c76acd4~mv2.jpg
"4"" Spider - Curly Green",1110034600,"4""","A classic, easy-care houseplant with arching, striped foliage and dangling plantlets on long runners. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. One of the most forgiving houseplants and a great choice for beginners. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_0cffc56203214661bd2676eb25a318db~mv2.jpg
"4"" Areca Palm",1110035000,"4""","A graceful, feathery palm that brings an airy, tropical look indoors and doubles as a natural air freshener. Provide bright, indirect light for best growth and colour. Water when the top inch of soil feels dry, then allow to drain freely. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_93ea731c1b584469ba66406e4824cd6b~mv2.jpg
"4"" Danish Ivy",1110036200,"4""","A trailing vine with small, glossy, deeply lobed leaves that cascade attractively from a pot or basket. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_d8bac8d729b845148ce4525860df99b0~mv2.jpg
"4"" Turtle Vine",1110036600,"4""","A dainty trailing succulent with small, rounded, shell-like leaves along thin stems. Provide bright, indirect light for best growth and colour. Allow the soil to dry out between waterings; overwatering is the most common cause of trouble. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_9b6ce7e66c224d71ad218ef81e7f566d~mv2.jpg
"4"" Callisia - Pink Lady",1110036700,"4""","A trailing, patterned foliage plant related to Tradescantia, with pink-and-green striped leaves. Provide bright, indirect light for best growth and colour. Water when the top inch of soil feels dry, then allow to drain freely. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_2b388bbb717446b3a66e7d27245cb1b4~mv2.jpg
"4"" Croton - Gold Dust",1110040000,"4""","A vibrant, sun-loving foliage plant with bold, multicoloured leaves in shades of red, orange, and yellow. Prefers bright light with some direct sun each day. Water when the top inch of soil feels dry, then allow to drain freely. Needs good light to maintain its brightest colours. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_6ed68cae8fdd4f9092669f40b64d875e~mv2.jpg
"4"" Croton",1110040200,"4""","A vibrant, sun-loving foliage plant with bold, multicoloured leaves in shades of red, orange, and yellow. Prefers bright light with some direct sun each day. Water when the top inch of soil feels dry, then allow to drain freely. Needs good light to maintain its brightest colours. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_4cd2881237bc4ec08e0eeb2ca666f7c6~mv2.jpg
"4"" Coffee Plant",1110041000,"4""","A handsome indoor tree with glossy, deeply veined dark green leaves. Provide bright, indirect light for best growth and colour. Water when the top inch of soil feels dry, then allow to drain freely. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_734f306aca324a39837090b82bf783fa~mv2.jpg
"4"" Umbrella Tree - Scheff",1110053000,"4""","A fast-growing indoor tree with glossy leaflets arranged like the spokes of an umbrella. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_5a2a3975b3334b18afe3549c477337c0~mv2.jpg
"4"" Dieffenbachia - Perfection",1110060200,"4""","A classic tropical foliage plant with large, boldly patterned cream-and-green leaves. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_eafac6ed23b64b74a07df1fad8447093~mv2.jpg
"4"" Dieffenbachia - Camille",1110060300,"4""","A classic tropical foliage plant with large, boldly patterned cream-and-green leaves. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_47313a2c9fdb4cfaad325691e08474d7~mv2.jpg
"4"" Dieffenbachia - Amy",1110061500,"4""","A classic tropical foliage plant with large, boldly patterned cream-and-green leaves. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_fb07bb98316046b28267deac988fb203~mv2.jpg
"4"" False Aralia",1110063000,"4""","An elegant foliage plant with narrow, deeply serrated, coppery-green leaflets that darken with age. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Appreciates steady humidity and dislikes drafts. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_2d8d85706f00442b86518ecf26bfb32e~mv2.jpg
"4"" False Aralia - Variegated",1110063100,"4""","An elegant foliage plant with narrow, deeply serrated, coppery-green leaflets that darken with age. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Appreciates steady humidity and dislikes drafts. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_37a82acd000b45c3b382041744e5126f~mv2.jpg
"4"" Dracaena Warneckii - Lemon Lime",1110067900,"4""","An architectural, easy-care foliage plant with strappy or cane-style growth, ideal for adding height indoors. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Allow the soil to dry out between waterings; overwatering is the most common cause of trouble. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_8db484864b9d421a8f50873be48e87dc~mv2.jpg
"4"" Dracaena Warneckii - Variegated",1110068200,"4""","An architectural, easy-care foliage plant with strappy or cane-style growth, ideal for adding height indoors. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Allow the soil to dry out between waterings; overwatering is the most common cause of trouble. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_1dda7a2d4dc740369e1d3405dd68d2e1~mv2.jpg
"4"" Cyperus Papyrus",1110068500,"4""","A dramatic, grass-like plant with tall stems topped by fine, fountain-like foliage; naturally at home in boggy soil. Prefers bright light with some direct sun each day. Keep the soil constantly wet to waterlogged; this plant thrives with its roots in standing water. Pet friendly and non-toxic if ingested.",TRUE,,Outdoor Items,db81aa_a4a0aa3ac171481492b42d0da76b2202~mv2.jpg
"4"" Dracaena Ribbon - Variegated",1110068500,"4""","An architectural, easy-care foliage plant with strappy or cane-style growth, ideal for adding height indoors. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Allow the soil to dry out between waterings; overwatering is the most common cause of trouble. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_c7b5ad7a9e77402685af7071c3656a09~mv2.jpg
"4"" Ribbon Plant - Golden",1110068600,"4""","A Dracaena variety grown for its gracefully arching, ribbon-like variegated leaves. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Allow the soil to dry out between waterings; overwatering is the most common cause of trouble. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_d0b6927f65de4adab7064b820dadaccc~mv2.jpg
"4"" Dracaena - Janet Craig Compacta",1110069100,"4""","An architectural, easy-care foliage plant with strappy or cane-style growth, ideal for adding height indoors. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Allow the soil to dry out between waterings; overwatering is the most common cause of trouble. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_8c817821ca2043c195fa3b9221c20166~mv2.jpg
"4"" Dracaena Dragon Tree - Natural",1110069700,"4""","An architectural, easy-care foliage plant with strappy or cane-style growth, ideal for adding height indoors. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Allow the soil to dry out between waterings; overwatering is the most common cause of trouble. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_c02625017b7a4d6b9d817edd1c28464c~mv2.jpg
"4"" Dracaena Dragon Tree - Colorama",1110070300,"4""","An architectural, easy-care foliage plant with strappy or cane-style growth, ideal for adding height indoors. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Allow the soil to dry out between waterings; overwatering is the most common cause of trouble. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_6a4a1ec20b1d45ea8a95f7c887f9b1b6~mv2.jpg
"4"" Dracaena - Indivisia",1110071100,"4""","An architectural, easy-care foliage plant with strappy or cane-style growth, ideal for adding height indoors. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Allow the soil to dry out between waterings; overwatering is the most common cause of trouble. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Outdoor Items,23f81e_3e7f33cd546244748d623d3c39232f15~mv2.jpg
"4"" Dracaena Dragon Tree - Magenta",1110071500,"4""","An architectural, easy-care foliage plant with strappy or cane-style growth, ideal for adding height indoors. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Allow the soil to dry out between waterings; overwatering is the most common cause of trouble. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_c6b4e2598fdf40d78c8979e80279eac2~mv2.jpg
"4"" Dracaena - Dragon Tree - Bicolor",1110072000,"4""","An architectural, easy-care foliage plant with strappy or cane-style growth, ideal for adding height indoors. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Allow the soil to dry out between waterings; overwatering is the most common cause of trouble. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_7b14629d1021422eb453e5ff97287c49~mv2.jpg
"4"" Ficus - Tineke",1110080600,"4""","A popular indoor tree or trailing vine with glossy foliage that makes a bold architectural statement. Provide bright, indirect light for best growth and colour. Water when the top inch of soil feels dry, then allow to drain freely. Dislikes being moved and may drop a few leaves while adjusting to a new spot. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_99cf7bb40e8b4bc09735fce384ca64b5~mv2.jpg
"4"" Creeping Fig - Bellus",1110083200,"4""","A dainty, fast-spreading vine with tiny leaves, perfect for trailing pots, terrariums, or topiary. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Keep soil evenly moist and never let it dry out completely. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_0ec262e783e04533bc1d857164a49b6a~mv2.jpg
"4"" Ficus Elastica Burgundy",1110083500,"4""","A popular indoor tree or trailing vine with glossy foliage that makes a bold architectural statement. Provide bright, indirect light for best growth and colour. Water when the top inch of soil feels dry, then allow to drain freely. Dislikes being moved and may drop a few leaves while adjusting to a new spot. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_b365c36e93fc479097368a930b87e583~mv2.jpg
"4"" Creeping Fig - Green",1110084500,"4""","A dainty, fast-spreading vine with tiny leaves, perfect for trailing pots, terrariums, or topiary. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Keep soil evenly moist and never let it dry out completely. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_adcefcba2bdd41c69a28887731a814a5~mv2.jpg
"4"" Fittonia - Red Vein",1110086000,"4""","A low, creeping foliage plant with striking, intricately veined leaves. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Keep soil evenly moist and never let it dry out completely. Loves humidity; a terrarium or bathroom is an ideal home. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_d298b3b90a0941a39d3c6891daa56831~mv2.jpg
